Year,Title,Link
2024,"IMFC Statement by Christine Lagarde, President of the ECB",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/ECB.pdf
2024,"IMFC Statement by HE Haitham Al Ghais, Secretary General, OPEC",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/OPEC.pdf
2024,"IMFC Statement by Ayman Al-Sayari, Governor of the Saudi Central Bank (SAMA)",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Saudi.pdf
2024,"IMFC Statement by Antoine Armand, Minister of the Economy, Finance and Industry, France",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/France.pdf
2024,"IMFC Statement by Luis Caputo, Minister of Economy, Argentina",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Argentina.pdf
2024,"IMFC Statement By The Hon. Jim Chalmers, Treasurer, Australia",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Australia.pdf
2024,"IMFC Statement by Mathias Cormann, Secretary-General, OECD",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/OECD.pdf
2024,"IMFC Statement by Carlos Cuerpo, Minister of Economy, Trade and Business, Spain",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Spain.pdf
2024,"IMFC Statement by Executive Vice President Valdis Dombrovskis and Commissioner Paolo Gentiloni, European Commission",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/EC.pdf
2024,"IMFC Statement by Giancarlo Giorgetti, Minister of the Economy and Finance, Italy",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Italy.pdf
2024,"IMFC Statement by Fernando Haddad, Minister of Finance, Brazil",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Brazil.pdf
2024,"IMFC Statement by Eelco Heinen, Minister of Finance, the Netherlands",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Netherlands.pdf
2024,"IMFC Statement by Robert Holzmann, Governor of the Austrian National Bank",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Austria.pdf
2024,"IMFC Statement by the Honorable Kato Katsunobu, Governor of the IMF for Japan",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/japan.pdf
2024,"IMFC Statement by Karin Keller-Sutter, Minister of Finance of Switzerland",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Switzerland.pdf
2024,"IMFC Statement by Honorable Lesetja Kganyago, Governor of the South African Reserve Bank",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/SA.pdf
2024,"Statement by Christian Lindnerm, Minister of Finance, Germany",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Germany.pdf
2024,"IMFC Statement by His Excellency Mohammed bin Hadi Al Hussaini, Minister of State for Financial Affairs for the United Arab Emirates",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/UAE.pdf
2024,"IMFC Statement by Mays Mouissi, Minister of Economy and Participations of Gabon",https://meetings.imf.orghttps://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Gabon.pdf
2024,français,https://meetings.imf.orghttps://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Gabon-French.pdf
2024,"IMFC Statement by Pan Gongsheng, Governor of the People’s Bank of China",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/China.pdf
2024,"IMFC Statement by Rt Hon Rachel Reeves MP Chancellor of the Exchequer, H.M Treasury, United Kingdom",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/UK.pdf
2024,"IMFC Statement by Anton Siluanov, Minister of Finance, Russian Federation",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Russia.pdf
2024,"IMFC Statement by Nirmala Sitharaman, Minister of Finance and Corporate Affairs, India",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/india.pdf
2024,"IMFC Statement by Sethaput Suthiwartnarueput, Governor, Bank of Thailand",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Thailand.pdf
2024,"IMFC Statement by Salah Eddine Taleb, Governor of the Bank of Algeria",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Algeria.pdf
2024,"IMFC Statement by Mihály Varga, Chair, EU Council of Economic and Finance Ministers",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/EUcouncil.pdf
2024,"IMFC Statement by Trygve Slagsvold Vedum, Finance Minister, Norway",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/Norway.pdf
2024,"IMFC Statement by Janet Yellen, Secretary of the Treasury, United States",https://meetings.imf.org/-/media/AMSM/Files/AM2024/IMFC/usa.pdf
2023,"IMFC Statement by Honorable Ernest Addison, Governor of the Bank of Ghana",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Ghana.pdf
2023,"IMFC Statement by Mohammed bin Hadi Al Hussaini, Minister of State for Financial Affairs, United Arab Emirates",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/UAE.pdf
2023,"IMFC Statement by Ahmed Osman Ali, Governor of the Central Bank, Djibouti",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Djibouti.pdf
2023,"CMFI Déclaration de Ahmed Osman Ali, Gouverneur de la Banque Centrale, Djibouti",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/djibouti-fr.pdf
2023,"Mohammed Aljadaan, Minister of Finance, Saudi Arabia",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Saudi-Arabia.pdf
2023,"IMFC Statement by Nadia Calviño, Chair, EU Council of Economic and Finance Ministers",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/eu-council-of-economic-and-finance-ministers.pdf
2023,"IMFC Statement by Jim Chalmers, Treasurer, Australia",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Australia.pdf
2023,"IMFC Statement by Mathias Cormann, Secretary-General, OECD",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/OECD.pdf
2023,"IMFC Statement by Rosanna Costa, President of the Central Bank, Chile",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Chile.pdf
2023,"IMFC Statement by Valdis Dombrovskis, Executive Vice President, European Commission",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/european-commission.pdf
2023,"IMFC Statement by Chrystia Freeland, Deputy Prime Minister and Minister of Finance, Canada",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Canada.pdf
2023,"IMFC Statement by Giancarlo Giorgetti, Minister of the Economy and Finance, Italy",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Italy.pdf
2023,"IMFC Statement by Fernando Haddad, Minister of Finance, Brazil",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Brazil.pdf
2023,"IMFC Statement by Robert Holzmann, Governor of the Central Bank, Austria",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Austria.pdf
2023,"IMFC Statement by Gilbert Houngbo, Director-General, International Labour Organization",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/ILO.pdf
2023,"IMFC Statement by Jeremy Hunt, Chancellor of the Exchequer, H.M Treasury, United Kingdom",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/United-Kingdom.pdf
2023,"IMFC Statement by Karin Keller-Sutter, Minister of Finance, Switzerland",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Switzterland.pdf
2023,"IMFC Statement by Christine Lagarde, President, European Central Bank",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/ECB.pdf
2023,"IMFC Statement by Bruno Le Maire, Minister of the Economy, Finance and the Industrial and Digital Sovereignty, France",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/France.pdf
2023,"IMFC Statement by Christian Lindner, Minister of Finance, Germany",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Germany.pdf
2023,"IMFC Statement by PAN Gongsheng, Governor of the People’s Bank of China, People's Republic of China",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/China.pdf
2023,"IMFC Statement by Riikka Purra, Minister of Finance, Finland",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Finland.pdf
2023,"IMFC Statement by Nirmala Sitharaman, Minister of the Economy and Finance, India",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/India.pdf
2023,"IMFC Statement by Achim Steiner, United Nations",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/united-nations.pdf
2023,"IMFC Statement by SUZUKI Shunichi, Governor of the IMF for Japan",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Japan.pdf
2023,"IMFC Statement by Vincent Van Peteghem, Deputy Prime Minister and Minister of Finance, Belgium",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Belgium.pdf
2023,"IMFC Statement by Lawrence Wong, Chairman of the Monetary Authority, Singapore",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/Singapore.pdf
2023,"IMFC Statement by Janet Yellen, Secretary of the Treasury, United States",https://meetings.imf.org/-/media/AMSM/Files/AM2023/IMFC/united-states.pdf
2022,"IMFC Statement by Zainab Ahmed, Minister of Finance, Budget, and Planning, Nigeria",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Nigeria.pdf
2022,"IMFC Statement by Mohammed bin Hadi Al Hussaini, Minister of State for Financial Affairs, United Arab Emirates",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/united-arab-emirates.pdf
2022,"IMFC Statement by Mohammed Aljadaan, Minister of Finance, Saudi Arabia",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/saudi-arabia.pdf
2022,"IMFC Statement by Kyungho Choo, Deputy Prime Minister, Republic of Korea",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Korea.pdf
2022,"IMFC Statement by Mathias Cormann, Secretary-General, OECD",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/OECD.pdf
2022,"IMFC Statement by Rosanna Costa, President of the Central Bank, Chile",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Chile.pdf
2022,"IMFC Statement by Adama Coulibaly, Minister of Economy and Finance, Côte d'Ivoire",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/cote-divoire.pdf
2022,"CMFI Déclaration de Adama Coulibaly, Ministre de lEconomie et des Finances, Côte dIvoire",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/civ-f.pdf
2022,"IMFC Statement by Mikael Damberg, Minister of Finance, Sweden",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Sweden.pdf
2022,"IMFC Statement by Valdis Dombrovskis, Executive Vice President, European Commission",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/EC.pdf
2022,"IMFC Statement by Daniele Franco, Minister of the Economy and Finance, Italy",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Italy.pdf
2022,"IMFC Statement by Chrystia Freeland, Deputy Prime Minister and Minister of Finance, Canada",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Canada.pdf
2022,"CMFI Déclaration de Chrystia Freeland, Vice-première ministre et ministre des Finances, Canada",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/canada-f.pdf
2022,"IMFC Statement by Rebeca Grynspan, Secretary-General, UNCTAD",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/UNCTAD.pdf
2022,"IMFC Statement by Paulo Guedes, Minister of Economy, Brazil",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Brazil.pdf
2022,"IMFC Statement by Sigrid Kaag, Deputy Prime Minister and Minister of Finance, Kingdom of the NetherlandsThe Netherlands",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/kingdom-of-the-netherlands.pdf
2022,"IMFC Statement by Kwasi Kwarteng, Chancellor of the Exchequer, United Kingdom",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/UK.pdf
2022,"IMFC Statement by Christine Lagarde, President, European Central Bank",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/ECB.pdf
2022,"IMFC Statement by Bruno Le Maire, Minister of the Economy, Finance and the Industrial and Digital Sovereignty, France",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/France.pdf
2022,"IMFC Statement by Christian Lindner, Minister of Finance, Germany",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Germany.pdf
2022,"IMFC Statement by György Matolcsy, Governor of the Central Bank, Hungary",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Hungary.pdf
2022,"IMFC Statement by Ueli Maurer, Minister of Finance, Switzerland",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Switzerland.pdf
2022,"IMFC Statement by Nirmala Sitharaman, Minister of Finance and Corporate Affairs, India",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/India.pdf
2022,"IMFC Statement by Zbyněk Stanjura, Chairman, EU Council of Economic and Finance Ministers",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/eu-council-of-economic-and-finance-ministers.pdf
2022,"IMFC Statement by Achim Steiner, Administrator of the United Nations Development Programme, United Nations",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/united-nations.pdf
2022,"IMFC Statement by Shunichi Suzuki, Governor of the IMF for Japan, Japan",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Japan.pdf
2022,"IMFC Statement by Salah-Eddine Taleb, Governor of the Central Bank, Algeria",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Algeria.pdf
2022,"IMFC Statement by Perry Warjiyo, Governor of the Central Bank, Indonesia",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/Indonesia.pdf
2022,"IMFC Statement by Janet Yellen, Secretary of the Treasury, United States",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/united-states.pdf
2022,"IMFC Statement by Gang Yi, Governor of the Peoples Bank of China, Peoples Republic of China",https://meetings.imf.org/-/media/AMSM/Files/AM2022/IMFC/peoples-republic-of-china.pdf
2021,Documents,https://meetings.imf.org/en/sitecore/templates/Branches/AMSM/Page-Branches/IMF-Microsite/$name/Documents
2021,"IMFC Statement by Mohammed bin Hadi Al Hussaini, Minister of State for Financial Affairs, United Arab Emirates",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/united-arab-emirates.pdf
2021,"IMFC Statement by Mohammed Aljadaan, Minister of Finance, Saudi Arabia",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/saudi-arabia.pdf
2021,"IMFC Statement by Mohammad Sanusi Barkindo, Secretary General, OPEC",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/OPEC.pdf
2021,"IMFC Statement by Mathias Cormann, Secretary-General, OECD",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/OECD.pdf
2021,"IMFC Statement by Valdis Dombrovskis, Executive Vice President, European Commission",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/EC.pdf
2021,"IMFC Statement by Rosthom Fadli, Governor of the Bank of Algeria, Algeria",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Algeria.pdf
2021,"IMFC Statement by Daniele Franco, Minister of the Economy and Finance, Italy",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Italy.pdf
2021,"IMFC Statement by Chrystia Freeland, Deputy Prime Minister and Minister of Finance, Canada",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Canada.pdf
2021,"IMFC Statement by Rebeca Grynspan, Secretary - General, UNCTAD",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/UNCTAD.pdf
2021,"IMFC Statement by Paulo Guedes, Minister of Economy, Brazil",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Brazil.pdf
2021,"IMFC Statement by Martín Guzmán, Minister of Economy, Argentina",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Argentina.pdf
2021,"IMFC Statement by Nam-Ki Hong, Deputy Prime Minister and Minister of Economy and Finance, Republic of Korea",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/republic-of-korea.pdf
2021,"IMFC Statement by Malangu Kabedi-Mbuyi, Governor of Banque Centrale du Congo, Democratic Republic of the Congo",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/democratic-republic-of-the-congo.pdf
2021,"IMFC Statement by Lesetja Kganyago, Governor for the South African Reserve Bank, South Africa",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/south-africa.pdf
2021,"IMFC Statement by Christine Lagarde, President, European Central Bank",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/ECB.pdf
2021,"IMFC Statement by Bruno Le Maire, Minister of the Economy, Finance and the Recovery, France",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/France.pdf
2021,"IMFC Statement by György Matolcsy, Governor of the Central Bank, Hungary",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Hungary.pdf
2021,"IMFC Statement by Ueli Maurer, Minister of Finance, Switzerland",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Switzerland.pdf
2021,"IMFC Statement by Nor Shamsiah Mohd Yunus, Governor, Central Bank of Malaysia, Malaysia",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Malaysia.pdf
2021,"IMFC Statement by Lars Rohde, Governor, Denmark",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Denmark.pdf
2021,"IMFC Statement by Guy Ryder, Director - General, International Labour Organization",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/ILO.pdf
2021,"IMFC Statement by Olaf Scholz, Minister of Finance, Germany",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Germany.pdf
2021,"IMFC Statement by Andrej Šircelj, Chairman, EU Council of Economic and Finance Ministers",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/eu-council-of-economic-and-finance-ministers.pdf
2021,"IMFC Statement by Nirmala Sitharaman, Minister of Finance and Corporate Affairs, India, Member, International Monetary and Financial Committee (IMFC)",https://meetings.imf.org/-/media/AMSM/Files/SM2021/IMFC/India.pdf
2021,"IMFC Statement by Achim Steiner, United Nations",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/UN.pdf
2021,"IMFC Statement by Rishi Sunak, Chancellor of the Exchequer, H.M. Treasury, United Kingdom",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/united-kingdom.pdf
2021,"IMFC Statement by SUZUKI Shunichi, Governor of the IMF for Japan",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Japan.pdf
2021,"IMFC Statement by Vincent Van Peteghem, Deputy Prime Minister and Minister of Finance, Belgium",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/Belgium.pdf
2021,"IMFC Statement by Janet Yellen, Secretary of the Treasury, United States",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/united-states.pdf
2021,"IMFC Statement by YI Gang, Governor of the People's Bank of China, People's Republic of China,",https://meetings.imf.org/-/media/AMSM/Files/AM2021/IMFC/China.pdf
2020,"IMFC Statement by Berat Albayrak, Minister of Treasury and Finance, Turkey",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/tur.pdf
2020,"IMFC Statement by Mohammed Aljadaan, Minister of Finance, Saudi Arabia",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/sau.pdf
2020,"IMFC Statement by Aso Taro, Deputy Prime Minister, Japan",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/jpn.pdf
2020,"IMFC Statement by Mohammed Barkindo, Secretary General, OPEC",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/OPEC.pdf
2020,"IMFC Statement by Valdis Dombrovskis, European Commission",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/EC.pdf
2020,"IMFC Statement by Rosthom Fadli, Governor of the Bank of Algeria, Algeria",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/dza.pdf
2020,"IMFC Statement by Chrystia Freeland, Deputy Prime Minister and Minister of Finance, Canada",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/can.pdf
2020,"IMFC Statement by Josh Frydenberg, Treasurer, Australia",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/aus.pdf
2020,"IMFC Statement by Roberto Gualtieri, Minister of the Economy and Finance, Italy",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/ita.pdf
2020,"IMFC Statement by Paulo Guedes, Minister of Economy, Brazil",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/bra.pdf
2020,"IMFC Statement by Angel Gurría, Secretary-General, OECD",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/OECD.pdf
2020,"IMFC Statement by Martín Guzmán, Minister of Economy, Argentina",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/arg.pdf
2020,"IMFC Statement by Wopke Hoekstra, Minister of Finance, Kingdom of the Netherlands—The Netherlands",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/nld.pdf
2020,"IMFC Statement by Mukhisa Kituyi, Secretary-General, UNCTAD",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/UNCTAD.pdf
2020,"IMFC Statement by Christine Lagarde, President, European Central Bank",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/ECB.pdf
2020,"IMFC Statement by Bruno Le Maire, Minister of the Economy, Finance and the Recovery, France",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/fra.pdf
2020,"IMFC Statement by Ueli Maurer, Minister of Finance, Switzerland",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/che.pdf
2020,"IMFC Statement by T.T. Mboweni, Minister of Finance, South Africa",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/zaf.pdf
2020,"IMFC Statement by Steven Mnuchin, Secretary of the Treasury, United States",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/usa.pdf
2020,"IMFC Statement by Calixte Nganongo, Minister of Finance and Budget, Republic of Congo",https://www.imf.org/~/media/AMSM/Files/SM2020/IMFC/cog.pdf?la=en
2020,français,https://meetings.imf.orghttps://www.imf.org/~/media/AMSM/Files/AM2020/IMFC/cogf.pdf?la=en
2020,"IMFC Statement by Guy Ryder, Director-General, International Labour Organization",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/ILO.pdf
2020,"IMFC Statement by Jan Tore Sanner, Minister of Finance, Norway",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/nor.pdf
2020,"IMFC Statement by Nadia Calviño Santamaría, Vice president and Minister for Economy, Spain",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/esp.pdf
2020,"IMFC Statement by Olaf Scholz (Germany), Chairman of the EU Council of Economic and Finance Ministers",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/deu.pdf
2020,"IMFC Statement by Anton Siluanov, Minister of Finance, Russian Federation",https://meetings.imf.org/-/media/AMSM/Files/AM2020/IMFC/rus.pdf
